Year,JD,Time,T1N,T1S,T2N,T2S,T3N,T3S,T4N,T4S,Bark_T3S,Air
1994,223,1000,17.87,17.2,14.88,15.68,19.25,19.76,16.43,15.13,20.26,22.22
1994,223,1100,19.05,18.7,15.49,16.81,16.42,16.31,17.16,16.07,18.75,21.95
1994,223,1200,19.9,19.44,16.17,18.1,17.16,17.3,17.38,16.76,19.87,23.65
1994,223,1300,20.33,19.9,16.78,19.28,17.87,18.38,17.63,17.26,20.76,22.89
1994,223,1400,19.96,19.71,17.03,20.13,17.99,19.67,17.55,17.39,22.27,20.27
1994,223,1500,19.93,19.83,17.27,21.96,18.21,19.82,17.52,17.51,20.85,20.56
1994,223,1600,19.85,21.19,17.4,21.48,18.27,19.48,17.5,17.71,20.25,19.77
1994,223,1700,19.41,19.54,17.37,20.71,18.05,19.05,17.36,17.65,18.78,17.55
1994,223,1800,18.78,18.77,17.15,19.92,17.61,18.42,17.08,17.35,17.78,16.09
1994,223,1900,18.38,18.25,16.97,19.14,17.3,17.87,16.87,17.08,16.97,15.75
1994,223,2000,18.14,18.04,16.84,18.58,17.09,17.54,16.69,16.88,16.79,15.47
1994,223,2100,17.67,17.47,16.64,17.98,16.74,17.06,16.49,16.7,15.76,13.81
1994,223,2200,17.22,16.87,16.32,17.16,16.28,16.43,16.16,16.34,14.91,12.95
1994,223,2300,16.83,16.48,16.01,16.45,15.88,15.93,15.87,16.02,14.44,12.8
1994,224,0,16.61,16.28,15.81,16.03,15.62,15.61,15.69,15.82,14.3,13.15
1994,224,100,16.49,16.19,15.72,15.76,15.49,15.42,15.61,15.72,14.28,13.15
1994,224,200,16.13,15.91,15.54,15.41,15.2,15.13,15.44,15.58,13.86,12.12
1994,224,300,16,15.87,15.38,15.19,15.04,14.98,15.31,15.46,14,12.87
1994,224,400,16.08,16.01,15.39,15.18,15.09,15.02,15.34,15.48,14.32,13.69
1994,224,500,15.96,15.76,15.34,15.03,14.98,14.84,15.31,15.45,13.87,12.68
1994,224,600,15.72,15.49,15.18,14.75,14.75,14.56,15.16,15.31,13.45,12.08
1994,224,700,15.47,15.25,15,14.47,14.51,14.3,15,15.15,13.2,11.43
1994,224,800,15.23,15.1,14.79,14.21,14.29,14.07,14.84,15.02,13.08,11.7
1994,224,900,15.44,15.52,14.79,14.42,14.55,14.25,15.17,15.12,13.82,13.81
1994,224,1000,16.57,16.48,15.07,15.35,15.17,14.92,15.69,15.4,15.32,16.99
1994,224,1100,17.5,17.59,15.42,16.04,15.79,15.55,16.03,15.87,16.5,18.48
1994,224,1200,18.21,18.03,15.83,16.96,16.3,16.28,16.42,16.29,17.4,18.81
1994,224,1300,18.51,18.12,16.17,17.75,16.7,16.9,16.62,16.59,17.74,18.28
1994,224,1400,17.58,16.42,15.95,16.84,16.04,15.76,16.27,16.21,14.26,12.61
1994,224,1500,17.02,15.97,15.55,16.02,15.54,15.09,15.81,15.74,13.97,12.75
1994,224,1600,16.73,16.21,15.34,15.8,15.35,15.03,15.6,15.52,14.64,13.71
1994,224,1700,17.12,16.87,15.51,16.47,15.71,15.77,15.79,15.75,16.14,15.85
1994,224,1800,17.29,17.03,15.75,16.85,15.93,16.12,15.96,15.95,16.12,16.02
1994,224,1900,17.01,16.57,15.71,16.46,15.71,15.74,15.79,15.84,15.33,15.16
1994,224,2000,16.87,16.5,15.68,16.25,15.64,15.64,15.68,15.78,15.37,15.3
1994,224,2100,16.64,16.27,15.64,16,15.53,15.45,15.59,15.72,14.84,14.1
1994,224,2200,16.4,16,15.5,15.65,15.31,15.17,15.42,15.57,14.48,13.66
1994,224,2300,16.04,15.62,15.31,15.3,15.03,14.84,15.24,15.42,13.8,12.31
1994,225,0,15.69,15.09,15.07,14.9,14.68,14.42,15.04,15.2,13.19,11.42
1994,225,100,15.17,14.5,14.71,14.39,14.18,13.89,14.75,14.89,12.39,9.82
1994,225,200,14.68,14.12,14.3,13.89,13.71,13.42,14.43,14.58,11.91,9.53
1994,225,300,14.31,13.93,13.98,13.5,13.36,13.11,14.18,14.34,11.7,9.67
1994,225,400,14.03,13.75,13.74,13.21,13.06,12.86,13.99,14.17,11.51,9.68
1994,225,500,13.87,13.57,13.56,12.96,12.87,12.63,13.86,14.02,11.35,9.68
1994,225,600,13.65,13.45,13.37,12.74,12.65,12.45,13.71,13.88,11.25,9.62
1994,225,700,13.53,13.27,13.23,12.48,12.5,12.24,13.58,13.73,11.02,9.55
1994,225,800,13.31,13.14,13.05,12.31,12.32,12.09,13.43,13.59,11.06,9.68
1994,225,900,13.59,13.72,13.03,12.57,12.5,12.34,13.56,13.64,12.02,11.82
1994,225,1000,14.57,14.94,13.36,13.46,13.24,13.07,14.19,14.04,13.55,15.33
1994,225,1100,15.75,16.02,13.83,14.42,14.04,13.87,14.86,14.68,14.85,17.23
1994,225,1200,16.96,17.19,14.39,15.66,14.8,14.87,15.36,15.33,16.55,19.38
1994,225,1300,17.87,17.99,14.98,16.94,15.54,16.16,15.78,15.75,18.69,20.66
1994,225,1400,18.49,18.6,15.54,19.11,16.25,19.99,16.01,16.14,24.86,20.84
1994,225,1500,18.29,17.94,15.85,19.85,16.38,19.51,16.03,16.28,19.42,18.09
1994,225,1600,17.74,17.27,15.77,18.55,16.05,17.86,15.81,16.04,17.56,16.36
1994,225,1700,17.98,18.02,15.92,18.7,16.36,18.48,15.88,16.12,19.8,19.35
1994,225,1800,18.09,18.05,16.16,18.66,16.59,18.19,16.02,16.3,18.44,18.6
1994,225,1900,17.95,17.84,16.23,18.53,16.54,17.83,15.95,16.29,17.87,17.83
1994,225,2000,17.74,17.48,16.23,18.08,16.43,17.46,15.84,16.19,17.08,16.83
1994,225,2100,17.32,16.95,16.11,17.44,16.15,16.91,15.65,16,16.11,15.29
1994,225,2200,16.88,16.49,15.91,16.82,15.81,16.39,15.42,15.75,15.37,14.32
1994,225,2300,16.55,16.19,15.73,16.31,15.53,15.97,15.23,15.53,14.94,14.01
1994,226,0,16.23,15.9,15.57,15.9,15.3,15.62,15.08,15.37,14.52,13.17
1994,226,100,15.9,15.63,15.37,15.47,15.02,15.26,14.89,15.18,14.15,12.94
1994,226,200,15.64,15.38,15.19,15.08,14.79,14.94,14.74,15.01,13.77,12.55
1994,226,300,15.4,15.17,15.03,14.74,14.58,14.67,14.59,14.85,13.56,12.45
1994,226,400,15.14,14.9,14.87,14.41,14.36,14.38,14.45,14.7,13.15,11.64
1994,226,500,14.88,14.65,14.65,14.04,14.1,14.06,14.26,14.51,12.83,11.62
1994,226,600,14.7,14.45,14.5,13.75,13.9,13.79,14.14,14.35,12.6,11.42
1994,226,700,14.4,14.21,14.31,13.47,13.69,13.54,13.98,14.2,12.36,10.92
1994,226,800,14.28,14.29,14.15,13.34,13.62,13.44,13.88,14.12,12.63,11.76
1994,226,900,14.99,15.77,14.33,13.96,14.14,14,14.93,14.45,14.36,16.08
1994,226,1000,16.88,17.24,14.93,15.43,15.13,15.15,15.9,15.06,16.49,20.57
1994,226,1100,18.52,19.07,15.62,16.75,16.27,16.24,16.57,15.93,18.09,21.84
1994,226,1200,18.92,18.91,16.09,17.65,16.74,16.91,16.78,16.43,18.17,19.76
1994,226,1300,18.89,18.83,16.28,17.94,16.92,17.29,16.64,16.41,18.89,20.63
1994,226,1400,19.58,19.59,16.72,19.58,17.59,20.11,16.83,16.83,23.35,21.51
1994,226,1500,19.6,19.51,17.04,20.67,17.84,19.8,16.88,17.04,20.95,21.05
1994,226,1600,20.02,23.46,17.42,22.05,18.36,20.46,17.06,17.46,22.81,22.39
1994,226,1700,20.17,21.55,17.77,22.2,18.73,20.9,17.19,17.7,22.47,22.35
1994,226,1800,19.96,20.48,17.89,21.61,18.69,20.38,17.15,17.67,20.64,20.46
1994,226,1900,19.55,19.76,17.85,20.76,18.47,19.7,16.96,17.48,19.48,19.42
1994,226,2000,19.23,19.31,17.78,20.02,18.27,19.21,16.77,17.29,18.85,18.75
1994,226,2100,18.78,18.72,17.67,19.35,17.97,18.67,16.6,17.12,17.76,16.57
1994,226,2200,18.24,18.11,17.42,18.58,17.54,18.04,16.33,16.82,16.81,14.71
1994,226,2300,17.68,17.5,17.09,17.8,17.05,17.39,16.03,16.48,15.86,13.14
1994,227,0,17.15,17,16.74,17.09,16.57,16.8,15.73,16.15,15.21,12.34
1994,227,100,16.75,16.61,16.43,16.48,16.18,16.32,15.48,15.87,14.74,12.06
1994,227,200,16.44,16.33,16.18,15.99,15.88,15.93,15.27,15.65,14.44,12.05
1994,227,300,16.26,16.23,16.01,15.71,15.69,15.73,15.16,15.52,14.52,12.45
1994,227,400,16.21,16.27,15.93,15.6,15.59,15.66,15.14,15.47,14.77,13.86
1994,227,500,16.27,16.33,15.97,15.6,15.62,15.67,15.2,15.51,14.83,13.72
1994,227,600,16.01,15.96,15.82,15.28,15.37,15.35,15.07,15.39,14.16,12.68
1994,227,700,15.82,15.78,15.67,15.04,15.2,15.14,14.96,15.25,14.11,12.66
1994,227,800,15.67,15.73,15.54,14.84,15.14,14.99,14.86,15.2,14.14,12.96
1994,227,900,16.5,17.2,15.76,15.43,15.63,15.52,16.03,15.51,15.87,18.23
1994,227,1000,18.87,18.5,16.34,16.87,16.64,16.67,16.91,16.11,18.06,23.12
1994,227,1100,20.35,20.47,17.03,18.19,17.89,17.83,17.62,17.05,19.78,23.17
1994,227,1200,21.22,21.06,17.67,19.75,18.68,19.08,18.01,17.8,21.08,22.68
1994,227,1300,20.54,19.93,17.68,19.58,18.36,18.75,17.74,17.5,19.56,19.11
1994,227,1400,20.43,19.74,17.81,20.13,18.49,19.9,17.47,17.45,21.41,19.82
1994,227,1500,20.76,20.52,18.23,24.23,19.04,21.02,17.54,17.75,22.84,22.92
1994,227,1600,21.09,22.91,18.67,25.52,19.5,21.64,17.76,18.17,24.13,23.02
1994,227,1700,21.02,22,18.91,24.74,19.73,22.25,17.77,18.29,23.5,22.92
1994,227,1800,20.82,21.24,19.01,23.54,19.72,21.41,17.68,18.28,21.71,22.41
1994,227,1900,20.56,20.74,19.05,22.61,19.64,20.86,17.57,18.21,20.75,21.22
1994,227,2000,20.17,20.17,18.98,21.71,19.39,20.3,17.39,18.05,19.75,19.52
1994,227,2100,19.67,19.5,18.78,20.83,18.99,19.64,17.16,17.8,18.65,17.68
1994,227,2200,19.2,19.03,18.56,20.09,18.62,19.11,16.95,17.54,17.96,16.54
1994,227,2300,18.79,18.65,18.33,19.41,18.28,18.64,16.75,17.3,17.44,15.95
1994,228,0,18.51,18.42,18.15,18.92,18.03,18.31,16.62,17.14,17.23,15.84
1994,228,100,18.27,18.2,18,18.53,17.82,18.03,16.52,17.02,16.91,15.29
1994,228,200,18.13,18.06,17.89,18.18,17.67,17.79,16.45,16.92,16.74,15.47
1994,228,300,17.91,17.82,17.76,17.82,17.46,17.49,16.35,16.8,16.36,14.96
1994,228,400,17.66,17.47,17.62,17.45,17.21,17.17,16.24,16.66,15.88,13.98
1994,228,500,17.29,17.16,17.36,16.99,16.88,16.79,16.03,16.45,15.5,13.73
1994,228,600,17.12,17.04,17.22,16.7,16.7,16.58,15.94,16.33,15.44,14.09
1994,228,700,17.01,16.96,17.13,16.48,16.58,16.42,15.89,16.26,15.39,14.29
1994,228,800,17.07,17.24,17.12,16.48,16.72,16.48,15.9,16.28,16.02,16.01
1994,228,900,18.04,18.92,17.49,17.27,17.43,17.26,17.12,16.74,18.08,21.16
1994,228,1000,20.16,20.3,18.15,18.87,18.56,18.56,17.95,17.45,20.24,25
1994,228,1100,21.55,22.24,18.85,20.16,19.75,19.69,18.53,18.36,21.85,25.62
1994,228,1200,22.52,22.84,19.47,21.53,20.57,20.84,18.97,19.09,23.21,26.21
1994,228,1300,23.03,23.14,19.98,22.71,21.09,22.05,19.15,19.34,25.17,26.36
1994,228,1400,23.27,23.49,20.5,25.02,21.69,26.34,19.21,19.69,31.77,26.77
1994,228,1500,23.4,23.69,21.11,30.31,22.21,26.27,19.35,20.08,27.67,26.26
1994,228,1600,23.5,27.11,21.37,29.97,22.43,25.8,19.43,20.34,27.89,26.03
1994,228,1700,23.44,24.93,21.59,28.82,22.64,25.88,19.47,20.46,27.01,25.51
1994,228,1800,23.03,23.67,21.57,27.21,22.42,24.78,19.29,20.29,24.55,23.88
1994,228,1900,22.57,22.95,21.46,25.86,22.13,23.87,19.05,20.04,23.31,22.68
1994,228,2000,22.07,22.21,21.28,24.67,21.75,23.1,18.81,19.77,22.07,20.68
1994,228,2100,21.47,21.41,20.99,23.52,21.23,22.25,18.51,19.4,20.7,18.7
